show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Army of the Dead,Christopher Nolan,"Meryl Streep, Angelina Jolie, Brad Pitt, Tom Hanks, Morgan Freeman",United States,"July 26, 2019",2017,TV-14,146 min,"Dramas, Stand-Up Comedy, Romantic Movies",A thought-provoking narrative exploring themes of identity and redemption.
s2,Movie,The Irishman,Spike Lee,"Ryan Gosling, Viola Davis, Denzel Washington, Brad Pitt, Cate Blanchett",Nigeria,"July 21, 2020",2020,R,77 min,"Dramas, Horror Movies, Action & Adventure",An award-winning production that redefines storytelling in modern cinema.
s3,Movie,Pulp Fiction,,"Meryl Streep, Ryan Gosling",France,"July 28, 2015",2013,TV-MA,122 min,"Drama TV Shows, Action & Adventure",An award-winning production that redefines storytelling in modern cinema.
s4,TV Show,Ozark: Season 1,Spike Lee,"Viola Davis, Denzel Washington, Meryl Streep, Cate Blanchett",United States,"July 23, 2020",2013,TV-14,1 Season,Romantic Movies,A thought-provoking narrative exploring themes of identity and redemption.
s5,TV Show,Breaking Bad: Season 3,Denis Villeneuve,"Scarlett Johansson, Meryl Streep, Viola Davis, Emma Stone, Denzel Washington",United States,"October 13, 2021",2020,TV-Y7,3 Seasons,Comedies,A gripping tale that explores complex characters through unexpected twists.
s6,Movie,Oxygen: Part 3,Christopher Nolan,"Angelina Jolie, Meryl Streep",India,"February 3, 2015",2011,PG-13,86 min,Anime Series,A thought-provoking narrative exploring themes of identity and redemption.
s7,Movie,Black Panther: Part 3,Guillermo del Toro,"Emma Stone, Cate Blanchett",Italy,"March 20, 2018",2010,TV-Y7,133 min,"Thrillers, Crime TV Shows, Horror Movies",An emotional journey that resonates with viewers around the world.
s8,Movie,Malcolm and Marie,Quentin Tarantino,"Angelina Jolie, Viola Davis",United States,"March 20, 2020",2013,R,179 min,Thrillers,A thought-provoking narrative exploring themes of identity and redemption.
s9,Movie,The Dark Knight,Guillermo del Toro,"Viola Davis, Denzel Washington",Brazil,"July 22, 2020",2014,TV-14,133 min,"Stand-Up Comedy, International Movies",A gripping tale that explores complex characters through unexpected twists.
s10,Movie,Army of the Dead,Christopher Nolan,"Denzel Washington, Scarlett Johansson, Angelina Jolie, Tom Hanks, Emma Stone",United Kingdom,"December 1, 2019",2016,TV-14,127 min,"Drama TV Shows, Documentaries, Anime Series",An award-winning production that redefines storytelling in modern cinema.
